Measure,Total,Achara,Boonsri,Busarakhan,Chai,Decha,Kannika,Kohsoom,Sadka,Somchair,Tansanee
Metolachlor,522,0,125,27,150,0,85,27,80,28,0
Naphthalene,90,0,60,2,5,0,2,16,1,2,2
Nickel,2442,64,492,127,578,52,443,129,418,130,9
Nitrates,4786,135,976,286,1233,150,701,216,674,284,131
Nitrites,4791,135,976,286,1232,150,701,216,679,284,132
Organic nitrogen,110,89,4,0,0,17,0,0,0,0,0
Orthophosphate-phosphorus,4782,135,976,286,1233,148,696,217,676,284,131
Oxygen saturation,2177,36,560,86,488,53,326,126,321,84,97
"p,p-DDD",632,0,161,34,179,0,94,32,97,35,0
"p,p-DDE",661,0,175,34,186,0,102,32,98,34,0
"p,p-DDT",2209,48,471,123,485,25,386,138,383,127,23
PAHs,7,0,1,1,1,0,1,1,1,1,0
PCB 101,98,0,60,3,7,0,4,19,2,3,0
PCB 118,12,0,0,2,5,0,2,0,1,2,0
PCB 138,98,0,60,3,7,0,4,19,2,3,0
PCB 153,98,0,60,3,7,0,4,19,2,3,0
PCB 180,98,0,60,3,7,0,4,19,2,3,0
PCB 28,8,0,0,1,2,0,2,1,1,1,0
PCB 52,8,0,0,1,2,0,2,1,1,1,0
Pentachlorobenzene,88,0,60,2,5,0,2,16,1,2,0
Petroleum hydrocarbons,1185,37,234,76,187,31,218,89,208,77,28
Phenanthrene,90,0,60,2,5,0,2,16,1,2,2
Potassium,2142,18,759,91,296,30,329,209,310,95,5
Pyrene,76,0,60,0,0,0,0,16,0,0,0
Selenium,75,0,0,8,19,0,19,0,22,7,0
Silica (SiO2),1668,12,408,84,502,0,246,86,247,83,0
Simazine,441,0,103,24,121,0,73,24,70,25,1
Sodium,2171,22,768,91,302,40,329,213,306,95,5
Sulfides,389,0,59,23,117,0,77,10,78,25,0
Sulphates,3253,22,860,168,619,77,551,213,530,170,43
Tetrachloromethane,474,0,91,31,104,0,92,32,93,31,0
Total coliforms,1615,3,507,76,298,21,256,142,236,76,0
Total dissolved phosphorus,521,0,121,50,132,0,72,24,72,50,0
Total dissolved salts,2789,28,569,151,708,80,437,141,438,151,86
Total extractable matter,156,0,27,12,36,0,31,8,31,11,0
Total hardness,1672,30,521,91,229,23,272,124,273,74,35
Total nitrogen,2553,133,227,196,777,113,407,58,396,195,51
Total organic carbon,418,20,137,13,54,0,50,48,48,14,34
Total phosphorus,4600,134,958,274,1165,145,662,217,640,274,131
Trifluralin,12,0,0,2,5,0,2,0,1,2,0
Water temperature,5031,119,984,283,1559,96,697,217,667,283,126
Zinc,2982,75,609,158,681,51,537,172,508,161,30
